Id;Catégorie;Description;Energ_Kcal;Protéine;gras;Cholestérol;Sodium
21;Croquettes;Chicken McNuggets  (20 piece);1030;49;65;170;2280
57;Sandwich;Grilled Chicken Flatbread;520;28;22;70;1590
126;Déjeuners;Steak Egg & Cheese Bagel;640;31;31;265;1540
120;Déjeuners;Spanish Omelete Bagel;710;27;40;275;1520
59;Déjeuners;Ham Egg & Cheese Bagel;550;26;23;255;1500
48;Sandwich;Double Quarter Pounder  with Cheese ;760;46;48;165;1450
8;Déjeuners;Big Déjeuners;710;24;48;455;1430
2;Déjeuners;Bacon Egg & Cheese Biscuit;480;21;31;250;1360
111;Déjeuners;Sausage Egg & Cheese McGriddles™;550;20;33;260;1290
3;Déjeuners;Bacon Egg & Cheese McGriddles™;450;19;23;240;1270
102;Sandwich;Quarter Pounder  with Cheese ;530;28;30;95;1250
47;Sandwich;Double Cheeseburger;480;25;27;85;1220
41;Salades;Crispy Chicken California Cobb Salad;380;27;23;125;1170
20;Croquettes;Chicken McNuggets  (10 piece);510;25;33;85;1140
38;Sandwich;Crispy Chicken;500;22;26;50;1100
9;Sandwich;Big Mac ;580;24;33;85;1050
39;Salades;Crispy Chicken Bacon Ranch Salad;370;26;21;65;1040
11;Sandwich;Big N' Tasty  with Cheese;580;26;37;95;1030
109;Déjeuners;Sausage Biscuit with Egg;490;16;33;245;1010
112;Déjeuners;Sausage McGriddles™;420;11;23;35;970
56;Salades;Grilled Chicken California Cobb Salad;280;30;14;130;960
93;Vinaigrettes à salades;Newman's Own  Light Balsamic Vinaigrette?;90;0;8;0;950
108;Déjeuners;Sausage Biscuit;410;10;28;35;930
114;Déjeuners;Sausage McMuffin  with Egg;450;20;28;260;930
19;Sandwich;Chicken McGrill ;400;25;17;60;890
40;Salades;Crispy Chicken Caesar Salad;310;23;16;50;890
49;Déjeuners;Egg McMuffin ;300;18;12;235;840
84;Sandwich;McChicken ;430;14;23;45;840
54;Salades;Grilled Chicken Bacon Ranch Salad;270;28;13;75;830
69;Sandwich;Hot 'n Spicy McChicken ;450;15;26;45;830
138;Desserts;Vanilla Triple Thick™ Shake (32 fl oz cup);1140;28;32;135;810
18;Sandwich;Cheeseburger;330;15;14;45;800
10;Sandwich;Big N' Tasty ;530;24;32;80;790
113;Déjeuners;Sausage McMuffin ;370;14;23;50;790
101;Sandwich;Quarter Pounder  ;420;23;21;70;780
73;Déjeuners;Hotcakes (margarine 2 pats & syrup);600;9;17;20;770
51;Sandwich;Filet-O-Fish ;470;15;26;50;730
23;Croquettes;Chicken McNuggets  (6 piece);310;15;20;50;680
55;Salades;Grilled Chicken Caesar Salad;210;26;7;60;680
110;Déjeuners;Sausage Déjeuners Burrito ;290;13;16;170;680
12;Déjeuners;Biscuit;240;4;11;0;640
60;Sandwich;Hamburger;280;12;10;30;560
28;Desserts;Chocolate Triple Thick™ Shake (32 fl oz cup);1150;30;33;135;550
94;Vinaigrettes à salades;Newman's Own  Ranch Dressing;290;1;30;20;530
137;Desserts;Vanilla Triple Thick™ Shake (21 fl oz cup);750;18;21;90;530
5;Déjeuners;Bagel (plain);260;9;1;0;520
92;Vinaigrettes à salades;Newman's Own  Creamy Caesar Dressing;190;2;18;20;500
22;Croquettes;Chicken McNuggets  (4 piece);210;10;13;35;460
17;Salades;California Cobb Salad (without chicken);160;11;11;85;450
91;Vinaigrettes à salades;Newman's Own  Cobb Dressing;120;1;9;10;440
100;Desserts;Oreo  McFlurry™ (16 fl oz cup);820;22;29;100;420
136;Desserts;Vanilla Triple Thick™ Shake (16 fl oz cup);570;14;16;65;400
106;Desserts;Raspberry Triple Thick™ Shake (32 fl oz cup) ;1120;28;32;135;390
132;Frites;Super Size  Frites;610;9;29;0;390
131;Desserts;Strawberry Triple Thick™ Shake (32 fl oz cup);1120;28;32;135;380
15;Desserts;Butterfinger  McFlurry™ (16 fl oz cup);900;23;31;100;370
27;Desserts;Chocolate Triple Thick™ Shake (21 fl oz cup);750;19;22;90;360
80;Frites;Large Frites;540;8;26;0;350
90;Desserts;Nestle Crunch  McFlurry™ (16 fl oz cup);920;23;35;110;340
61;Déjeuners;Hash Browns;130;1;8;0;330
4;Salades;Bacon Ranch Salad (without chicken);140;9;10;25;310
83;Desserts;M&M  McFlurry™ (16 fl oz cup);910;23;33;105;300
135;Desserts;Vanilla Triple Thick™ Shake (12 fl oz cup);430;11;12;50;300
88;Frites;Medium Frites;450;6;22;0;290
107;Déjeuners;Sausage;170;6;16;35;290
26;Desserts;Chocolate Triple Thick™ Shake (16 fl oz cup);580;15;17;65;280
99;Desserts;Oreo  McFlurry™ (12 fl oz cup);570;15;20;70;280
50;Déjeuners;English Muffin;150;5;2;0;270
14;Desserts;Butterfinger   McFlurry ™ (12 fl oz cup);620;16;22;70;260
105;Desserts;Raspberry Triple Thick™ Shake (21 fl oz cup) ;730;19;21;90;260
7;Croquettes;Barbeque Sauce;45;0;0;0;250
29;Déjeuners;Cinnamon Roll ;340;5;15;35;250
86;Desserts;McDonaldland  Cookies;230;3;8;0;250
130;Desserts;Strawberry Triple Thick™ Shake (21 fl oz cup);730;19;21;90;250
53;Desserts;Fruit 'n Yogurt Parfait¯;380;10;5;15;240
72;Croquettes;Hot Mustard Sauce;60;1;3;5;240
89;Desserts;Nestle Crunch  McFlurry™ (12 fl oz cup);630;16;24;75;230
25;Desserts;Chocolate Triple Thick™ Shake (12 fl oz cup);430;11;12;50;210
82;Desserts;M&M  McFlurry™ (12 fl oz cup);630;16;23;75;210
87;Frites;McValue  Frites;320;5;16;0;210
6;Desserts;Baked Apple Pie;260;3;13;0;200
104;Desserts;Raspberry Triple Thick™ Shake (16 fl oz cup) ;560;14;16;65;190
129;Desserts;Strawberry Triple Thick™ Shake (16 fl oz cup);560;14;16;65;190
70;Desserts;Hot Caramel Sundae;360;7;10;35;180
16;Salades;Caesar Salad (without chicken);90;7;4;10;170
71;Desserts;Hot Fudge Sundae;340;8;12;30;170
85;Desserts;McDonaldland  Chocolate Chip Cookies;280;3;14;40;170
115;Déjeuners;Scrambled Eggs (2);160;13;11;425;170
24;Desserts;Chocolate Chip Cookie ;170;2;9;5;150
103;Desserts;Raspberry Triple Thick™ Shake (12 fl oz cup) ;420;11;12;50;150
125;Breuvages;Sprite  (Super Size ) ;410;0;0;0;150
13;Salades;Butter Garlic Croutons;50;1;1;0;140
128;Desserts;Strawberry Triple Thick™ Shake (12 fl oz cup);420;11;12;50;140
133;Croquettes;Sweet 'N Sour Sauce;50;0;0;0;140
117;Frites;Small Frites;210;3;10;0;135
1;Breuvages;Lowfat Milk;100;8;2;10;115
52;Desserts;Fruit 'n Yogurt Parfait (w/o granola)¯;280;8;4;15;115
122;Breuvages;Sprite  (Large) ;310;0;0;0;115
81;Croquettes;Light Mayonnaise?;45;0;4;10;100
68;Croquettes;Honey Mustard Sauce;50;0;4;10;95
127;Desserts;Strawberry Sundae;290;7;7;30;95
119;Desserts;Snack Size Fruit 'n Yogurt Parfait¯;160;4;2;5;85
123;Breuvages;Sprite  (Medium) ;210;0;0;0;80
46;Breuvages;Diet Coke  (Super Size ) ;0;0;0;0;75
66;Breuvages;Hi-C  Orange Drink (Super Size ) ;460;0;0;0;75
134;Desserts;Vanilla Reduced Fat Ice Cream Cone;150;4;4;20;75
